                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.78628,                0.00024,                0.00786,                0.00611,                    nan,                    nan,                    nan,             0.00055471,             0.00055471,             0.00055471
                      2,                    nan,                    nan,                    nan,                0.02604,                0.00024,                 0.0154,                0.00743,                    nan,                    nan,                    nan,              0.0010005,              0.0010005,              0.0010005
                      3,                    nan,                    nan,                    nan,                0.01961,                0.00019,                0.01221,                0.00808,                    nan,                    nan,                    nan,              0.0013362,              0.0013362,              0.0013362
                      4,                    nan,                    nan,                    nan,                0.02427,                0.00024,                0.01452,                0.00831,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                      5,                    nan,                    nan,                    nan,                0.01869,                0.00019,                0.01176,                0.00707,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                      6,                    nan,                    nan,                    nan,                0.06452,                0.00019,                0.03445,                0.02167,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                      7,                    nan,                    nan,                    nan,                0.03788,                0.00024,                0.02126,                0.01488,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                      8,                    nan,                    nan,                    nan,                0.06098,                0.00024,                 0.0327,                0.01896,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                      9,                    nan,                    nan,                    nan,                0.15625,                0.00024,                0.07988,                0.04738,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     10,                    nan,                    nan,                    nan,                0.06818,                0.00014,                0.03626,                0.02726,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
